M,Time,Ed,Po1,Po2,LF,M.F,Pop,NW,U1,U2,GDP,Ineq,Prob,So,y
151,26.2011,91,58,56,510,950,33,301,108,41,394,261,0.084602,1,791
143,25.2999,113,103,95,583,1012,13,102,96,36,557,194,0.029599,0,1635
142,24.3006,89,45,44,533,969,18,219,94,33,318,250,0.083401,1,578
136,29.9012,121,149,141,577,994,157,80,102,39,673,167,0.015801,0,1969
141,21.2998,121,109,101,591,985,18,30,91,20,578,174,0.041399,0,1234
121,20.9995,110,118,115,547,964,25,44,84,29,689,126,0.034201,0,682
127,20.6993,111,82,79,519,982,4,139,97,38,620,168,0.0421,1,963
131,24.5988,109,115,109,542,969,50,179,79,35,472,206,0.040099,1,1555
157,29.4001,90,65,62,553,955,39,286,81,28,421,239,0.071697,1,856
140,19.5994,118,71,68,632,1029,7,15,100,24,526,174,0.044498,0,705
124,41.6,105,121,116,580,966,101,106,77,35,657,170,0.016201,0,1674
134,34.2984,108,75,71,595,972,47,59,83,31,580,172,0.031201,0,849
128,36.2993,113,67,60,624,972,28,10,77,25,507,206,0.045302,0,511
135,21.501,117,62,61,595,986,22,46,77,27,529,190,0.0532,0,664
152,22.7008,87,57,53,530,986,30,72,92,43,405,264,0.0691,1,798
142,26.0991,88,81,77,497,956,33,321,116,47,427,247,0.052099,1,946
143,19.1002,110,66,63,537,977,10,6,114,35,487,166,0.076299,0,539
135,18.1996,104,123,115,537,978,31,170,89,34,631,165,0.119804,1,929
130,24.9008,116,128,128,536,934,51,24,78,34,627,135,0.019099,0,750
125,26.401,108,113,105,567,985,78,94,130,58,626,166,0.034801,0,1225
126,37.5998,108,74,67,602,984,34,12,102,33,557,195,0.0228,0,742
157,37.0994,89,47,44,512,962,22,423,97,34,288,276,0.089502,1,439
132,25.1989,96,87,83,564,953,43,92,83,32,513,227,0.0307,0,1216
131,17.6,116,78,73,574,1038,7,36,142,42,540,176,0.041598,0,968
130,21.9003,116,63,57,641,984,14,26,70,21,486,196,0.069197,0,523
131,22.1005,121,160,143,631,1071,3,77,102,41,674,152,0.041698,0,1993
135,28.4999,109,69,71,540,965,6,4,80,22,564,139,0.036099,0,342
152,25.8006,112,82,76,571,1018,10,79,103,28,537,215,0.038201,0,1216
119,36.7009,107,166,157,521,938,168,89,92,36,637,154,0.0234,0,1043
166,28.3011,89,58,54,521,973,46,254,72,26,396,237,0.075298,1,696
140,21.7998,93,55,54,535,1045,6,20,135,40,453,200,0.041999,0,373
125,30.9014,109,90,81,586,964,97,82,105,43,617,163,0.042698,0,754
147,25.5005,104,63,64,560,972,23,95,76,24,462,233,0.049499,1,1072
126,21.6997,118,97,97,542,990,18,21,102,35,589,166,0.040799,0,923
123,37.4011,102,97,87,526,948,113,76,124,50,572,158,0.0207,0,653
150,44.0004,100,109,98,531,964,9,24,87,38,559,153,0.0069,0,1272
177,31.6995,87,58,56,638,974,24,349,76,28,382,254,0.045198,1,831
133,16.6999,104,51,47,599,1024,7,40,99,27,425,225,0.053998,0,566
149,27.3004,88,61,54,515,953,36,165,86,35,395,251,0.047099,1,826
145,29.3004,104,82,74,560,981,96,126,88,31,488,228,0.038801,1,1151
148,30.0001,122,72,66,601,998,9,19,84,20,590,144,0.0251,0,880
141,12.1996,109,56,54,523,968,4,2,107,37,489,170,0.088904,0,542
162,31.9989,99,75,70,522,996,40,208,73,27,496,224,0.054902,1,823
136,30.0001,121,95,96,574,1012,29,36,111,37,622,162,0.0281,0,1030
139,32.5996,88,46,41,480,968,19,49,135,53,457,249,0.056202,1,455
126,16.6999,104,106,97,599,989,40,24,78,25,593,171,0.046598,0,508
130,16.0997,121,90,91,623,1049,3,22,113,40,588,160,0.052802,0,849
